127.0.0.1, 2018-01-03 13:29:57, GET, /, HTTP/1.1, 303, 0.001071
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000896
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.006113
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001117
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000439
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001407
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000310
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004050
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.006250
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.014415
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000412
127.0.0.1, 2018-01-03 13:29:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.059485
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000562
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000357
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001822
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001569
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001338
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000805
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004606
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000396
127.0.0.1, 2018-01-03 13:29:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2018-01-03 13:30:02, GET, /admin/default/index, HTTP/1.1, 200, 0.181972
127.0.0.1, 2018-01-03 13:30:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000166
127.0.0.1, 2018-01-03 13:30:59, GET, /, HTTP/1.1, 303, 0.000329
127.0.0.1, 2018-01-03 13:30:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.022242
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/default/index, HTTP/1.1, 200, 0.053495
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.003340
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001477
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.000710
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003308
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000641
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.004010
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004718
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005573
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008315
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.004004
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002402
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003512
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001148
127.0.0.1, 2018-01-03 13:31:06, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000925
127.0.0.1, 2018-01-03 13:31:11, POST, /admin/default/index, HTTP/1.1, 303, 0.017263
127.0.0.1, 2018-01-03 13:31:11, GET, /admin/default/site, HTTP/1.1, 200, 0.045195
127.0.0.1, 2018-01-03 13:31:11, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.001290
127.0.0.1, 2018-01-03 13:31:11, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000527
127.0.0.1, 2018-01-03 13:31:11, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000416
127.0.0.1, 2018-01-03 13:31:12, POST, /admin/default/check_version, HTTP/1.1, 200, 0.708233
127.0.0.1, 2018-01-03 13:31:24, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.106352
127.0.0.1, 2018-01-03 13:31:24, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.000396
127.0.0.1, 2018-01-03 13:31:24, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.002240
127.0.0.1, 2018-01-03 13:31:24, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.002467
127.0.0.1, 2018-01-03 13:31:24, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001264
127.0.0.1, 2018-01-03 13:33:00, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.041321
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000953
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001058
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004861
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001220
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002688
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001089
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002574
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001420
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.003547
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001743
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002896
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.005849
